id,lat,lon,location,hive,day,month,year,hour,min,segment,Round,Transitional,Tremble,Dance,Pollen forager on frame,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,mean_duration.sec,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,azimuth,heading.degrees,heading.radians,flag
,40.0760707,-88.24695,SD,,27,8,2021,12,33,08-27-2021_0033,,,,,,1,1,4,8,1493.5,1525.5,1507.938,12.46,698.5,783,738.375,27.742,0.901,1.268,0.993,0.184,54,86,71,11.364,26.571,43.073,36.688,7.179,0,43.073,18.344,20.166,NA,NA,NA,NA,26.571,43.073,36.688,7.179,29.493,44.462,37.264,6.782,65.674,86.906,75.857,9.673,NA,NA,NA,NA,,155.674,176.906,165.857,198.5,4.357,0.076043996,
,40.0760707,-88.24695,SD,,30,8,2021,9,18,08-30-2021_2118,,,,,,1,1,4,8,1666.5,1739.5,1705.438,25.765,687,711,696.812,8.259,0.667,0.968,0.817,0.129,93,106,100.625,6.022,26.613,44.026,32.992,7.638,0,44.026,16.496,18.33,NA,NA,NA,NA,26.613,44.026,32.992,7.638,34.272,45.498,40.206,4.628,-4.538,42.274,15.346,22.545,NA,NA,NA,NA,,85.462,132.274,105.346,121.5,226.846,3.959209595,
,40.0760707,-88.24695,SD,,21,6,2022,10,23,06-21-2022_2223,X,X,,,,1,1,4,8,1070.5,1125.5,1103.125,17.474,296,347.5,316.312,16.127,0.868,1.034,0.959,0.074,55,73,63.625,5.528,26.443,37.326,32.618,5.491,0,37.326,16.309,17.802,NA,NA,NA,NA,26.443,37.326,32.618,5.491,26.417,42.84,34.24,6.963,-164.65,-123.959,-147.484,18.76,NA,NA,NA,NA,,285.35,326.041,302.516,123.9,66.416,1.159177876,
,40.0760707,-88.24695,SD,,21,6,2022,10,23,06-21-2022_2223,X,,,,,2,2,4,8,1259.5,1441.167,1353.958,67.015,372.167,462.5,404.25,30.296,0.767,1.335,1.009,0.238,53,75,62.25,8.565,20.591,52.498,37.088,13.805,0,52.498,18.544,21.787,NA,NA,NA,NA,20.591,52.498,37.088,13.805,26.831,43.133,35.91,7.042,-60.945,-23.902,-42.197,16.369,NA,NA,NA,NA,,29.055,66.098,47.803,123.9,171.703,2.996782686,
,40.0760707,-88.24695,SD,,21,6,2022,10,29,06-21-2022_2229,X,X,,,X,1,1,4,8,1321.5,1369.5,1343.625,18.934,367.5,402,383.688,11.461,0.801,1.068,0.909,0.114,46,69,56,7.672,26.177,42.942,35.315,8.824,0,42.942,17.658,19.741,NA,NA,NA,NA,26.177,42.942,35.315,8.824,32.689,47.517,38.559,6.831,-165.801,-150.376,-154.974,7.259,NA,NA,NA,NA,,284.199,299.624,295.026,126.3,61.326,1.070340617,
,40.0760707,-88.24695,SD,,21,6,2022,10,35,06-21-2022_2235,,,,,,1,1,4,8,1135,1214.5,1181.25,26.11,381.5,437,405.5,18.605,0.534,1.235,0.893,0.344,50,104,70,16.379,35.655,45.393,40.025,4.833,0,45.393,20.012,21.627,NA,NA,NA,NA,35.655,45.393,40.025,4.833,31.94,66.786,49.914,18.106,-157.751,-129.401,-140.996,11.982,NA,NA,NA,NA,,292.249,320.599,309.004,128.8,77.804,1.357935971,
,40.0760707,-88.24695,SD,,21,6,2022,10,35,06-21-2022_2235,,,,,,2,2,4,8,1726,1767.5,1747.125,14.648,655.5,672,661.938,5.997,0.701,0.934,0.801,0.106,22,46,32.75,9.083,23.585,34.34,27.387,4.868,0,34.34,13.693,14.982,NA,NA,NA,NA,23.585,34.34,27.387,4.868,25.244,46.781,35.025,9.642,142.496,163.94,157.181,10.051,NA,NA,NA,NA,,232.496,253.94,247.181,128.8,15.981,0.278921068,
,40.0760707,-88.24695,SD,,21,6,2022,10,35,06-21-2022_2235,,,,,,3,3,4,8,1166.5,1243,1207.062,25.428,263.5,320,293.062,20.493,1.268,1.468,1.335,0.094,30,51,44.125,6.958,41.1,51.364,45.942,4.391,0,51.364,22.971,24.725,NA,NA,NA,NA,41.1,51.364,45.942,4.391,32.415,37.231,34.418,2.172,-61.535,-36.591,-50.098,12.949,NA,NA,NA,NA,,28.465,53.409,39.902,128.8,168.702,2.944405355,
,40.0760707,-88.24695,SD,,11,8,2022,11,29,08-11-2022_2329,,,,,,1,1,4,8,1164.5,1253,1212.438,28.735,462,480,472.375,5.89,0.734,1.335,1.043,0.274,31,56,38.875,10.426,19.558,39.17,32.512,8.795,0,39.17,16.256,18.308,NA,NA,NA,NA,19.558,39.17,32.512,8.795,26.643,43.478,31.627,8.005,4.399,18.687,11.513,6.195,NA,NA,NA,NA,,94.399,108.687,101.513,163.7,265.213,4.628840069,
,40.0760707,-88.24695,SD,,11,8,2022,11,29,08-11-2022_2329,,,,,,2,2,4,8,979.167,1066.5,1028.708,28.925,274.5,317.833,294.708,14.964,0.701,1.401,1.034,0.324,47,64,54.25,5.12,24.002,46.034,32.453,9.668,0,46.034,16.227,18.466,NA,NA,NA,NA,24.002,46.034,32.453,9.668,23.034,38.323,32.144,6.488,-10.008,16.189,0.178,11.576,NA,NA,NA,NA,,79.992,106.189,90.178,163.7,253.878,4.431006998,
